hour,rain_mm
0,1.2
1,1.2
2,1.2
3,1.2
4,1.2
5,1.2
6,1.2
7,1.2
8,1.2
9,1.2
10,1.2
11,1.2
12,1.2
13,1.2
14,1.2
15,1.2
16,1.2
17,1.2
18,1.2
19,1.2
20,1.2
21,1.2
22,1.2
23,1.2
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,3.5
49,3.5
50,3.5
51,3.5
52,3.5
53,3.5
54,3.5
55,3.5
56,3.5
57,3.5
58,3.5
59,3.5
60,3.5
61,3.5
62,3.5
63,3.5
64,3.5
65,3.5
66,12
67,18
68,26
69,34
70,28
71,20
72,8
73,5
74,3
75,2
76,1
77,1
